story_id,prediction,rationale
95,1,All 5 atomic claims consistent with narrative evidence
136,1,All 5 atomic claims consistent with narrative evidence
59,1,All 6 atomic claims consistent with narrative evidence
60,1,All 5 atomic claims consistent with narrative evidence
124,1,All 3 atomic claims consistent with narrative evidence
111,1,All 3 atomic claims consistent with narrative evidence
135,1,All 7 atomic claims consistent with narrative evidence
27,1,All 6 atomic claims consistent with narrative evidence
110,1,All 6 atomic claims consistent with narrative evidence
42,0,Found 1 violation(s) in 5 atomic claims via ENSEMBLE evaluation
56,1,All 4 atomic claims consistent with narrative evidence
80,0,Found 1 violation(s) in 6 atomic claims via ENSEMBLE evaluation
28,1,All 7 atomic claims consistent with narrative evidence
101,0,Found 2 violation(s) in 5 atomic claims via ENSEMBLE evaluation
91,1,All 4 atomic claims consistent with narrative evidence
24,1,All 3 atomic claims consistent with narrative evidence
119,0,Found 1 violation(s) in 3 atomic claims via ENSEMBLE evaluation
93,1,All 6 atomic claims consistent with narrative evidence
72,1,All 4 atomic claims consistent with narrative evidence
16,1,All 4 atomic claims consistent with narrative evidence
30,1,All 7 atomic claims consistent with narrative evidence
97,1,All 4 atomic claims consistent with narrative evidence
22,1,All 4 atomic claims consistent with narrative evidence
53,1,All 7 atomic claims consistent with narrative evidence
58,0,Found 1 violation(s) in 6 atomic claims via ENSEMBLE evaluation
81,1,All 7 atomic claims consistent with narrative evidence
47,1,All 5 atomic claims consistent with narrative evidence
7,1,All 6 atomic claims consistent with narrative evidence
121,0,Found 1 violation(s) in 3 atomic claims via ENSEMBLE evaluation
129,1,All 4 atomic claims consistent with narrative evidence
51,1,All 5 atomic claims consistent with narrative evidence
127,1,All 5 atomic claims consistent with narrative evidence
133,1,All 4 atomic claims consistent with narrative evidence
52,0,Found 2 violation(s) in 7 atomic claims via ENSEMBLE evaluation
114,1,All 5 atomic claims consistent with narrative evidence
2,1,All 5 atomic claims consistent with narrative evidence
33,1,All 4 atomic claims consistent with narrative evidence
15,1,All 4 atomic claims consistent with narrative evidence
82,0,Found 2 violation(s) in 7 atomic claims via ENSEMBLE evaluation
37,1,All 7 atomic claims consistent with narrative evidence
3,1,All 5 atomic claims consistent with narrative evidence
103,1,All 3 atomic claims consistent with narrative evidence
94,1,All 7 atomic claims consistent with narrative evidence
85,1,All 4 atomic claims consistent with narrative evidence
21,0,Found 1 violation(s) in 7 atomic claims via ENSEMBLE evaluation
49,1,All 5 atomic claims consistent with narrative evidence
140,0,Found 1 violation(s) in 5 atomic claims via ENSEMBLE evaluation
64,1,All 6 atomic claims consistent with narrative evidence
131,1,All 4 atomic claims consistent with narrative evidence
61,1,All 3 atomic claims consistent with narrative evidence
86,0,Found 1 violation(s) in 6 atomic claims via ENSEMBLE evaluation
38,0,Found 2 violation(s) in 7 atomic claims via ENSEMBLE evaluation
132,0,Found 1 violation(s) in 6 atomic claims via ENSEMBLE evaluation
77,0,Found 1 violation(s) in 4 atomic claims via ENSEMBLE evaluation
70,1,All 7 atomic claims consistent with narrative evidence
115,1,All 4 atomic claims consistent with narrative evidence
78,0,Found 1 violation(s) in 6 atomic claims via ENSEMBLE evaluation
87,0,Found 1 violation(s) in 5 atomic claims via ENSEMBLE evaluation
75,1,All 3 atomic claims consistent with narrative evidence
44,1,All 6 atomic claims consistent with narrative evidence
